region,sector,total_final_demand
0.00026849,4.5167e-07,4426.075003551777
0.00012315,4.4959e-07,3559.2738598707147
3.0333e-05,0.00015954,-6877.963574317414
4.5175e-05,1.0192e-07,-543.5794917969738
0.00024,0.00014948,-4510.3211841048
0.025572,6.3376e-08,16652.9618428944
3.2926e-05,0.083189,838758.2425591741
2.5573e-06,1.7449e-06,1243451.455613144
1.3958e-06,2.6837e-07,948373.2116346488
2.3324e-06,0.0049453,2932898.5074169235
2.9199e-05,0.0001812,1056310.559521465
10.841,0.012555,4603559.894801817
0.66894,1.2922e-05,349077.2568589203
0.00035066,0.28268,258192.6988263596
0.00091204,1.4996,709124.0935829679
0.89192,0.023523,561135.8350014598
120.11,0.00010014,1713865.384776316
4.976e-06,2.9671e-07,301006.6596552203
9.2229e-05,0.30859,658292.7198985073
3.2035,0.18993,2691524.076411597
0.73087,1.1534e-05,5386498.423157947
6.8535e-06,0.0081373,2208155.957205297
19.16,0.043203,39811632.00370814
0.025588,0.31599,4991909.786262711
2.2005e-05,0.00014436,61124.97306119528
0.0018983,0.058066,427527.21138809336
0.00033597,4.1025e-05,2351938.817572537
0.00060644,1.147e-08,54288.259606018604
0.14547,1.5501,8710551.260703314
2.3276e-05,1.5299e-07,37404.1836121991
3.4272e-05,7.3792e-08,501535.7702756801
6.9141e-05,2.0309e-05,14226.185406137083
0.0015232,0.016494,10601.048853960061
0.00024861,0.0026107,32247.087370258134
0.0024673,0.00021926,3130414.454205
0.00025512,0.00011314,5646972.061361478
0.0019326,0.00015169,626523.0036757914
0.0059613,0.0012089,3650320.9071065327
0.0072043,2.5166e-06,2195.066288503026
1.2712,0.00021105,172279.90928760398
0.0010539,0.0022882,4210.720128644025
0.00082783,0.0087734,-37080.890591024814
